WebPos;Issuing Bank;CardName;Visa/MC/AmEx;CardType;BIN;;Check;
Akbank;Akbank;Axess Visa Platinum;Visa;Credit;413252;Visa;True;
Akbank;Akbank;Axess Visa Klasik;Visa;Credit;435508;Visa;True;
Akbank;Akbank;Axess Visa Gold;Visa;Credit;435509;Visa;True;
Akbank;Akbank;Visa Wings;Visa;Credit;432071;Visa;True;
Akbank;Akbank;Visa Wings (Black);Visa;Credit;432072;Visa;True;
Akbank;Akbank;Master Wings;Mastercard;Credit;512754;Mastercard;True;
Akbank;Akbank;Master Wings (Black);Mastercard;Credit;524347;Mastercard;True;
Akbank;Akbank;Wings Visa Business;Visa;Credit;425669;Visa;True;
Akbank;Akbank;Wings Master Business;Mastercard;Credit;553056;Mastercard;True;
Akbank;Akbank;Axess Klasik ;Mastercard;Credit;557113;Mastercard;True;
Akbank;Akbank;Axess Master ;Mastercard;Credit;520932;Mastercard;True;
Akbank;Akbank;Axess Gold;Mastercard;Credit;557829;Mastercard;True;
Akbank;Akbank;Axess Platin;Mastercard;Credit;521807;Mastercard;True;
Akbank;Akbank;Biz Card (Yurtiçi);Mastercard;Credit;552608;Mastercard;True;
Akbank;Akbank;Biz Card (Enternasyonal);Mastercard;Credit;552609;Mastercard;True;
Akbank;Citibank;Citi Axess Visa ;Visa;Credit;450050;Visa;True;
Akbank;Citibank;Citi Axess Visa Gold;Visa;Credit;450051;Visa;True;
Akbank;Citibank;Citi Axess Visa Platinum;Visa;Credit;450151;Visa;True;
Akbank;Citibank;Citi Axess Mastercard;Mastercard;Credit;549220;Mastercard;True;
Akbank;Citibank;Citi Axess Mastercard Gold;Mastercard;Credit;544127;Mastercard;True;
Akbank;Citibank;Citi Axess Mastercard Platinum;Mastercard;Credit;521376;Mastercard;True;
Akbank;Citibank;Citiaxess Platinum;Visa;Credit;450052;Visa;True;
Akbank;Citibank;Citi Wings Black Platinum;Mastercard;Credit;531245;Mastercard;True;
Akbank;Citibank;Citi Wings Gold;Mastercard;Credit;547161;Mastercard;True;
